channel,idx,mrs,magnitude,angle,date
35.0,-0.0002519571961657458,-0.00030856521962672963,0.0003983653140811785,-129.23316368024956,2022-02-25
36.0,2.5906579813270203e-05,-0.0002962130441272469,0.0002973437713972695,-85.0016707203454,2022-02-25
37.0,-0.00022179665256986364,-0.0004128827232415334,0.00046868528699175256,-118.24426704694594,2022-02-25
38.0,-0.0002982307564273437,-0.0003023350504129196,0.0004246740712445348,-134.60844413765514,2022-02-25
39.0,-0.00031398086255668526,-0.0003454327906806012,0.00046680594997196436,-132.26924361234973,2022-02-25
40.0,-0.00028759925654488476,-0.00039452325771181877,0.00048822324119271156,-126.09127150205515,2022-02-25
41.0,-0.0001788876577959822,-0.0002473232894985314,0.0003052369630960622,-125.87802143918432,2022-02-25
42.0,-0.00018437834294476304,-0.0004621390134363701,0.0004975618967394892,-111.75038204074511,2022-02-25
43.0,-0.00014092361968082168,-0.0002258366552988208,0.0002661985376753661,-121.96444567502697,2022-02-25
44.0,-0.00017821328285195189,-0.00024023893563179916,0.00029912325282125687,-126.56864557761993,2022-02-25
45.0,-0.00034520407519650175,-0.00033131020150224677,0.00047846870655428596,-136.1765434329743,2022-02-25
46.0,-0.00039112084786137633,-0.00038051918309679256,0.0005456833938617266,-135.78714479094378,2022-02-25
47.0,-0.00036326274455977066,-0.0003536305233217849,0.0005069658456049447,-135.76978323325977,2022-02-25
48.0,-0.00020236877700120635,-0.0002551568542590812,0.00032566569082473823,-128.41846833100985,2022-02-25
49.0,-0.00015054117126289172,-0.00022713104967566643,0.0002724906566691294,-123.53619147059378,2022-02-25
50.0,-0.00047358781096147243,4.585853668496434e-05,0.0004758029214687165,174.46916873002925,2022-02-25
51.0,-0.00016483250412232956,-0.00029454247039385685,0.0003375278081594964,-119.23234486870227,2022-02-25
52.0,-0.0002772644640385799,-0.0002644527648423674,0.0003831590372826582,-136.35480180285555,2022-02-25
53.0,-0.00025436022788897307,-0.00029479078654167637,0.00038935938843386134,-130.78926674740094,2022-02-25
54.0,-0.00023447736250090473,-0.00024381870097043366,0.00033827088622624685,-133.88112975485782,2022-02-25
55.0,-0.00026151564897183307,-0.00028266293466724853,0.0003850828083566705,-132.77455255750994,2022-02-25
56.0,-0.0002523843557191595,-0.0004210316883858997,0.0004908824152858366,-120.94027049144593,2022-02-25
57.0,-0.0007397156234227296,-0.0005918155281691109,0.0009473250882974446,-141.3381595420498,2022-02-25
