absolute_relative_day,decoder,relative_corr
68,rr,-0.24093115235921914
69,nn,-0.2527940374273106
69,rr,-0.2453583162668573
70,nn,-0.25838209768737513
70,rr,-0.24277182315897622
71,nn,-0.2608540797994227
71,rr,-0.24962880314010832
72,nn,-0.26833234154428204
72,rr,-0.24509167585993338
73,nn,-0.2769155820565763
73,rr,-0.2559310473992763
74,nn,-0.2718768476002372
74,rr,-0.24336812153051487
75,nn,-0.25925468853512046
75,rr,-0.23233398571364156
76,nn,-0.25767773514565595
76,rr,-0.23956785900946867
77,nn,-0.26744527912387794
77,rr,-0.24759416834502648
78,nn,-0.26911342772551405
78,rr,-0.251470239138451
79,nn,-0.27947320073245013
79,rr,-0.24883698768809676
80,nn,-0.27411471961977363
80,rr,-0.25582794599396524
81,nn,-0.2668407682293183
81,rr,-0.2477177325381099
82,nn,-0.26373241148279064
82,rr,-0.2444995567830928
83,nn,-0.2637290186285497
83,rr,-0.24526620946062994
84,nn,-0.25916062865954553
84,rr,-0.24351088892676753
85,nn,-0.271922872536727
85,rr,-0.25597804896836246
86,nn,-0.2771840795316652
86,rr,-0.2557316722134121
87,nn,-0.2724629744747855
87,rr,-0.2585814937111538
88,nn,-0.2648669391947543
88,rr,-0.2448735159841722
89,nn,-0.2695387919705796
89,rr,-0.24259235422258899
90,nn,-0.2645341484063878
90,rr,-0.24689835351025172
91,nn,-0.2659963826301069
91,rr,-0.246391092393225
92,nn,-0.2704005611374457
92,rr,-0.24844549475741382
93,nn,-0.2728251702443655
93,rr,-0.2518565461137299
94,nn,-0.27357736479729355
94,rr,-0.2567651217778565
95,nn,-0.2727198513204621
95,rr,-0.2570603118372217
96,nn,-0.26144082329936447
96,rr,-0.24232170600900632
97,nn,-0.2697770302237253
97,rr,-0.2522245758758808
98,nn,-0.27022065230056697
98,rr,-0.25868075149012065
99,nn,-0.2653715690595755
99,rr,-0.24349193197167593
100,nn,-0.2716799128044281
100,rr,-0.25076567417651524
